"","60F_Avg","60M_Avg","48F_Avg","48M_Avg","36F_Avg","36M_Avg","18F_Avg","18M_Avg","7F_Avg","7M_Avg"
"gene-SERF1B|SERF1B",7984.2,10444.6666666667,10316.2,11992.8,12913.2,8918.4,10735.6,8860,9790.4,7880.2
"gene-LOC132772623|LOC132772623",2.6,3.66666666666667,0,0,1.4,0,0,1.4,0.8,0
"gene-PSEN2|PSEN2",1087,2551,1369.8,2602.4,1687.4,2553.8,3093.8,2241.4,1833.8,1543.4
"gene-LOC137095863|LOC137095863",0,0,0,0,0,0,0,0,0,0
"gene-ST6GAL2|ST6GAL2",29.4,77.3333333333333,23.8,64.6,39.4,68,92.4,125.6,161,155.4
"gene-CNBP|CNBP",11325.2,13178,9225.2,11805.6,9717.6,9121.6,10941.2,10968.4,10769.8,9500.2
"gene-NEU1|NEU1",289.2,550.666666666667,215.2,615.2,313.6,475.4,388.8,260,241.2,306.4
"gene-LSAMP|LSAMP",1149.2,2097.66666666667,1259.4,1869,1764.8,3301.2,3605.6,4789.6,2740.6,3151.2
"gene-LOC132762552|LOC132762552",0,36.6666666666667,0,2,0,0.6,0,0,0,0
"gene-LOC137096932|LOC137096932",0,0,0,6,0,0,0,6.6,0.8,2.2
"gene-LOC137097525|LOC137097525",0,0,0,0,0,0,0,0,0,0
"gene-MORN4|MORN4",495,1309,748.4,1488.6,868.8,770.2,864.4,616,694,758.4
"gene-LOC132761541|LOC132761541",0,0,0,0,0,0,0,0,0,0
"gene-VSIG10|VSIG10",1272,2843.66666666667,908.6,2132.2,1961.8,3256.8,1817.8,3679.6,1915.6,1096.8
"gene-LOC137097391|LOC137097391",0,0,0,0,0,0,0,0,0,0
"gene-ZNF821|ZNF821",896.2,1072,900.6,1018.8,1134.2,977,1239.2,933.4,1214.8,855.6
"gene-LOC132782867|LOC132782867",3060.6,11671,4734.4,8001.4,3798.2,4477.4,7927.6,11847.8,16487.4,15178.4
"gene-LOC132783031|LOC132783031",132.4,133.333333333333,134.2,132.6,103.8,142.6,182.6,204.4,208.8,180.6
"gene-LOC137096311|LOC137096311",41.2,54.3333333333333,29,51,41,38,65.6,36.2,58.6,63.4
"gene-PRKAG1|PRKAG1",507.2,1119.66666666667,786,1311.8,690.6,895.6,1087.4,1137.8,869.6,771.4
"gene-SMYD2|SMYD2",939.2,1506.66666666667,1263.6,1454.4,1706.2,1332.4,1679.6,1550.6,1547.6,1008
"gene-SLC41A2|SLC41A2",27.4,57.3333333333333,53.4,92.8,46.8,53.8,78.6,64,63.2,59.8
"gene-LOC132773151|LOC132773151",18.4,8.66666666666667,13.4,18.2,11.2,7.4,12.6,12.2,34.4,3.6
"gene-LOC132782492|LOC132782492",899.2,952.666666666667,913,1184,780.4,1018.4,2093,885.2,1741,755.8
"gene-MTNR1A|MTNR1A",0,0,1.2,0,3.2,0,0,0,4.4,3
"gene-P2RY12|P2RY12",173.8,766,202.2,989.6,333.4,489.2,345.2,183.2,37.8,30
"gene-SLITRK4|SLITRK4",0,0,0,0,0,0,0,2.4,0,0
"gene-POLR2H|POLR2H",123.2,165.666666666667,129.6,169.8,179.2,171.8,161.2,127,217.6,128.8
"gene-LOC137097270|LOC137097270",0,2.66666666666667,0,1.6,0,0.4,0,0.6,0,1.8
"gene-LOC132765836|LOC132765836",139,83.6666666666667,117.2,95.8,55.6,71.8,77,54.2,95.2,88.6
"gene-NOM1|NOM1",1089.8,1601.33333333333,763.6,1088.4,1246.2,1450.2,2074.6,1460.6,2685.2,1506.6
"gene-SPTBN2|SPTBN2",1973.8,5783.66666666667,2595.2,3918,3343.8,5610.6,7231,6865.4,13880.2,9456
"gene-NAALADL2|NAALADL2",214.4,414.666666666667,125.4,288.4,237,309.8,273.2,226.6,283.2,230.6
"gene-LOC132765774|LOC132765774",359.4,553.333333333333,319.8,540.8,448,537.6,915.4,596.2,952,516.6
"gene-LOC132766089|LOC132766089",24.8,42.6666666666667,20.2,57.8,47.8,59,54,33.8,48,45.4
"gene-C5H12orf75|C5H12orf75",7,39.3333333333333,12.2,14,30.4,8.4,7.4,6,4.2,4
"gene-ATP5F1B|ATP5F1B",11057.6,19209,17173.6,22891.2,13371.6,21171.8,20163.2,19354,27283.6,36796.4
"gene-LOC132780219|LOC132780219",1710.4,11589,3104.2,7439.6,4533.6,9252.2,4788.6,8849,4424.4,6436
"gene-KCTD18|KCTD18",225,301.333333333333,158.6,304.8,230.2,233.2,297.8,328.6,381.6,330
"gene-DZIP1|DZIP1",174,220.666666666667,79.4,152.2,72.8,169.4,197,149.6,233.6,175.2
"gene-NDUFA5|NDUFA5",1646.4,1088.33333333333,1547,1495,1337.8,1176.8,1031.2,1031.8,874.4,1133.8
"gene-LOC137096035|LOC137096035",3.2,10.3333333333333,18.2,5,5.8,6.2,10.4,3,14.8,10.8
"gene-CRPPA|CRPPA",200.4,190.333333333333,230,257.4,329.6,256,402.6,292.2,265.8,257
"gene-FOXP3|FOXP3",3.4,4.33333333333333,0,3,0,0,2.2,0,0.8,0.8
"gene-KIF1A|KIF1A",131.4,989.666666666667,92.8,522,121.4,2182,287,938.6,934.8,213.2
"gene-NEK9|NEK9",296.4,991.666666666667,400.8,835.4,570.6,887.4,1158.8,1124.4,1323.4,924.2
"gene-DBX2|DBX2",0,0,0,0,0,0,0,0,0,0
"gene-LOC137097429|LOC137097429",0.2,0,0,0,0.2,0.6,0,0,0.6,0.2
"gene-ETS1|ETS1",598.8,1565.33333333333,725.4,1327.8,812.6,1653.6,2107,1778.4,1644,1401.2
"gene-LOC132780242|LOC132780242",84.6,165.333333333333,113,194.2,96.8,121,88,155,126.2,174.6
"gene-LOC132766586|LOC132766586",0,11,9.6,12.6,1.6,11,2,1.2,3.4,0.4
"gene-LOC132766430|LOC132766430",0,0,0,0,0,0,0,0,0,0
"gene-SHISA8|SHISA8",0.8,2.66666666666667,12.8,1.4,0,0,0.8,0.8,0,0
"gene-RWDD2A|RWDD2A",81.8,51.3333333333333,129.6,93.4,117.4,62.6,57.6,40.8,43,55.4
"gene-FIBCD1|FIBCD1",3,13.6666666666667,5.2,5.4,12.4,4.4,4,5.6,2.8,24.6
"gene-HDGFL3|HDGFL3",8.2,51,25.8,55,25.4,60.4,46.4,48.6,73.4,39.6
"gene-ATP6V1G1|ATP6V1G1",2990.4,4249,3621.6,6473.4,3856.6,3652.6,2902.8,2853.4,2413.4,2564.4
"gene-LOC132767464|LOC132767464",54.8,102.333333333333,67.8,93.6,53,110.6,113,108.2,118.4,87
"gene-LOC132766755|LOC132766755",1.2,4.33333333333333,1.6,8.2,0,4.2,4,0.8,3.4,0
"gene-LOC137095282|LOC137095282",5.2,256.666666666667,4.2,188.2,5.6,188.4,14.2,176.2,11.2,205.8
"gene-LOC132761950|LOC132761950",0,0.666666666666667,0,0,0.6,0,0,4,2.2,0
"gene-NUDT2|NUDT2",738,810.666666666667,762,1015.4,1004.4,966,785.2,685.8,698.2,545.4
"gene-PDE6H|PDE6H",0,0.666666666666667,0,1.6,0.8,2.8,2.4,0,1.6,0
"gene-RASA2|RASA2",678.8,1036.33333333333,514,1042.6,655,807.8,935.4,688,701.2,468.6
"gene-LOC132781556|LOC132781556",0.8,2.33333333333333,0,3.6,0,0.2,0,1.8,0.2,1.6
"gene-LOC137096055|LOC137096055",15.8,15.6666666666667,1.8,2.4,43.6,3.8,2.6,5.2,8.4,2.2
"gene-LOC137095200|LOC137095200",0,146,0,108.8,0,116.8,0,241,0,112.6
"gene-TTC7B|TTC7B",234.8,370.333333333333,232,480.2,278,1315.6,295.8,269.4,246,239.8
"gene-ACY1|ACY1",264,616.666666666667,327.4,411.4,443.2,457.6,666.6,417.8,644.4,588.2
"gene-LOC132772682|LOC132772682",0,0,0,0,0,0,0,0,0,0
"gene-LOC137096505|LOC137096505",7.8,7.66666666666667,3.8,6.4,4.4,3.8,8.4,9.2,20.2,15
"gene-LOC132779187|LOC132779187",0,0,0,0,0,1,0,0.4,1.2,0.8
"gene-TBX1|TBX1",4.4,4.66666666666667,0,6.6,1.4,5.4,9.4,5.8,9.2,2.2
"gene-GABRA6|GABRA6",1.4,15.3333333333333,11.2,21,3.4,3.6,5,8,2.8,6.8
"gene-LOC132765995|LOC132765995",532.6,595.333333333333,411.6,553.4,619.8,738.2,841.6,601.4,786,573.8
"gene-LOC132769852|LOC132769852",7,25,7.4,32.4,18.4,50.8,23,28.2,27.8,44.4
"gene-LOC137095050|LOC137095050",6796,5772.66666666667,3437.4,4199.2,4212.2,5575,11171.4,7079.6,10095.4,18027.6
"gene-FAM174A|FAM174A",735.8,1074.66666666667,972.6,988,875,815.8,776.4,746.6,829.8,480.8
"gene-MAFG|MAFG",813.2,971,728.6,809.4,860.8,825.2,1300.6,893,1161,945.8
"gene-PCNT|PCNT",242.6,507.666666666667,300.4,602.8,294.2,604.6,547.6,445.2,899.8,510.8
"gene-LOC137095104|LOC137095104",31,55.3333333333333,23,61.2,61.4,69,68.6,53.2,72,85.4
"gene-ASNSD1|ASNSD1",97.4,145,129,253.6,126.4,168.8,196.6,129.8,113,121.6
"gene-LOC132782697|LOC132782697",54.8,168,198.8,289.2,112.8,121.2,97.8,43.4,133.6,222.8
"gene-TM2D2|TM2D2",375.4,520.666666666667,384,563.8,421,465,575.4,395,355,288.2
"gene-TMDD1|TMDD1",19,13.3333333333333,19.8,15.8,25.4,31.8,20,17.8,17.8,24
"gene-NPHP4|NPHP4",93,170.333333333333,105,217.2,145,295.6,180.4,157.6,215.8,238.6
"gene-NFE2|NFE2",177.4,156.333333333333,122,349.6,157.4,192,193.2,197,121.6,130.4
"gene-SRPK3|SRPK3",80.4,158,95.6,133.4,112.4,152.4,150.6,146,186.8,137
"gene-TRHDE|TRHDE",512,1090,618.8,978,841,1429.2,998.2,1562,1376.8,816.6
"gene-LOC132762265|LOC132762265",2.8,3,3.8,15.8,1.8,2.2,2.4,1.4,2.6,1.8
"gene-DIPK2A|DIPK2A",497,1019.33333333333,533.4,695.2,745.2,719.6,932.6,969.4,597.4,428.6
"gene-TRNAP-AGG-6|TRNAP-AGG",0,0,0,0.2,0,0,0.4,0.4,0,0
"gene-LOC137096027|LOC137096027",21,24.6666666666667,13,61.4,24.8,20.2,84,55.6,98.4,34.6
"gene-LOC132781250|LOC132781250",807.6,1055,697.8,947,921.8,836.8,980.6,772,793.6,496.2
"gene-NFKBIA|NFKBIA",3308.4,3346.33333333333,3168,3472.4,2713.8,2162.6,3182.8,1671.2,2355.4,1257.2
"gene-LOC132765601|LOC132765601",0.6,0,0,0,0,0,0,0,0,0
"gene-ESF1|ESF1",254.2,479.333333333333,281.4,460,292.2,424,485.4,495,398.2,305.4
"gene-WHAMM|WHAMM",181.2,423.333333333333,175.2,329.4,254,421.8,650,400,543,420.2
"gene-RPE|RPE",844.2,1294.66666666667,1032,1503.8,1080.6,1330.6,1339.4,1249.6,1477.4,1156.8
"gene-LOC132770027|LOC132770027",0,0,0,0.8,0.8,0.4,0.4,0.8,0,0.2
"gene-LOC137095165|LOC137095165",283.8,542,340,502.2,259.6,460,438,480.8,695.8,601.2
"gene-SH3D21|SH3D21",40.4,61,47.2,119.4,45.6,77.4,68,35,9.6,28.4
"gene-ZMAT4|ZMAT4",1.6,2,1.8,0.6,0,0.8,1.4,0.6,0,1.4
"gene-PITX1|PITX1",3.2,0,0,0,3.4,1.6,0,1.2,0,0
"gene-LOC132764923|LOC132764923",0,0,0,0,0,0,0,0,0,0
"gene-LOC137097216|LOC137097216",3.4,1,0,0,3,1.2,1.2,0,0,0
"gene-LOC137096253|LOC137096253",194.2,352,244.4,357.4,276.6,390.4,410.6,263.6,456.6,285
"gene-RPL10A|RPL10A",17430.4,21319.3333333333,20446.6,22636.6,24803.4,18641,21431,17624.8,28947.8,19429.4
"gene-LOC132766725|LOC132766725",0,11,0,11.2,146.8,3.4,0.8,1.2,0,1
"gene-KIF19|KIF19",463.4,2464.66666666667,559.8,1533.2,1459.8,4244.8,982.4,3919.2,74,17.2
"gene-LOC132764162|LOC132764162",0,0,0,0,0,0,0,0,0,0
"gene-LOC132779586|LOC132779586",0,0,0,0,0,0,0,0,0,0
"gene-MEIS1|MEIS1",156,185,121.4,110.6,134.6,136.8,158.6,151.2,138.6,148.2
"gene-LOC132765779|LOC132765779",144.6,144.666666666667,122.6,182.6,161.6,187.8,144,103.2,141.2,148.2
"gene-CCDC167|CCDC167",575.8,508,711.6,921.8,557.4,579.8,504.6,549.2,460,583
"gene-LRRC52|LRRC52",0.6,0,5.2,4,0.4,0,0,0,6,5
"gene-OGN|OGN",117,455,126.6,458.4,183.6,245.8,192.4,176.6,184,182.2
"gene-TBKBP1|TBKBP1",0,18.6666666666667,8.6,16.4,8,26,17.4,15.8,26.8,18.2
"gene-GKN2|GKN2",0,0,0,0,0,0,0,0,0,0
"gene-LOC137097286|LOC137097286",0,20,5.2,13.6,0,6.6,2.8,2.8,0,0
"gene-LOC137096703|LOC137096703",0,0,0,0,0,0,0.6,0,0,0
"gene-OLFM3|OLFM3",196,565,162.4,514.6,436.2,720.2,768.6,921.6,694.4,618
"gene-LOC137095125|LOC137095125",17.2,54.6666666666667,25.4,28,28.8,35.8,58.4,30.4,29.8,37
"gene-XPO1|XPO1",6300.6,4813,2882.2,4718,4263.6,4673.8,4317.8,3215,4319,4315.4
"gene-LOC137096645|LOC137096645",2,0,0.6,2.2,0.8,2.6,1.4,0,0.8,2.4
"gene-TRNAA-CGC|TRNAA-CGC",0,0,0,0,0,0,0,0,0,0
"gene-LOC132765954|LOC132765954",13.6,8.33333333333333,5.6,0.4,0,6,3.8,0.6,16.6,14.8
"gene-CYTH1|CYTH1",911.4,2199,1020,2566.4,1131,1950.4,1762.4,1196.4,814.6,620.6
"gene-TRPS1|TRPS1",39.8,130,64.4,111.6,80.6,94.6,183,109.6,130.4,91.4
"gene-LOC137097802|LOC137097802",21917.6,21012,40233.2,30535.6,20755.6,162183.4,41706.6,29201,29044,46151
"gene-LOC132763701|LOC132763701",64.8,191.333333333333,65.6,171.8,106.8,171.8,190.2,196,251.6,236.2
"gene-LOC137096737|LOC137096737",0,0,0,0,0,0,0,0,0,0
"gene-LPAR2|LPAR2",22.6,34,37.6,39.8,12.8,27.6,24.8,19.8,23,34.6
"gene-IWS1|IWS1",1018.6,1624,1107.4,1633.6,1082.2,1248.6,1500.2,1339.4,1247.2,1200.6
"gene-LOC132780225|LOC132780225",0,0,2,0,0,0,0.4,0.4,0,1
"gene-PACRGL|PACRGL",56.4,106,75.4,126,82.2,59.2,75.4,37.4,37,32.4
"gene-LOC132779007|LOC132779007",149.2,372.333333333333,122.8,201.2,386.4,433,420.6,604.8,778.8,458.2
"gene-RAD9A|RAD9A",230,303.666666666667,203.8,388.8,246.6,309.6,307.2,191.4,265.6,241
"gene-PRPSAP1|PRPSAP1",1901.6,2434.33333333333,1509.8,1936,1829.2,2435,2412,1916.6,2958,2229.8
"gene-LOC132765289|LOC132765289",142.4,148,113.6,155,198.4,117.8,211,204.4,171.4,135.6
"gene-CCDC25|CCDC25",749.8,978.333333333333,953,1157.6,1244.4,1056.6,1313.6,917.8,1296.4,1233.6
"gene-TASOR|TASOR",1972.4,2536.66666666667,1383,2218.8,1870.4,2066.4,2347.6,2091.8,2706.2,2217.2
"gene-NUFIP2|NUFIP2",534.8,1183,440.8,708,770.6,993.2,1694,1476.8,2333.4,1342.4
"gene-ADGRE5|ADGRE5",787.4,2520.66666666667,1238.6,3422.8,1353.4,1875.8,1832.2,1120.8,460.6,405.6
"gene-APPL2|APPL2",728.8,1340,807.4,1298.2,1066.2,1145,1114.4,977.8,895.8,733.2
"gene-LOC132766757|LOC132766757",1366.8,1900.66666666667,1547.6,2205.6,1608,1575.8,2009.6,1909,2134.8,2036.6
"gene-TMEM132B|TMEM132B",0,14.3333333333333,0.8,3.8,0,1.2,0.4,0,1.2,12.8
"gene-LOC132783325|LOC132783325",1.4,15,2,10.4,5.2,11.2,12,1,5,0.6
"gene-LOC132779824|LOC132779824",1,1.66666666666667,1.8,1.2,2.4,3.2,2.6,2,2.2,1.2
"gene-LOC132762078|LOC132762078",1,2.33333333333333,1.2,5.4,1,2.4,0,0.6,0,0
"gene-BMP2K|BMP2K",482.8,1802.33333333333,785.8,1812.2,695.2,1365.4,1527.8,884.6,714.6,573.4
"gene-LOC137096996|LOC137096996",84,242,824.8,105.8,7.2,2.4,4.2,0,0,19.6
"gene-C1H6orf58|C1H6orf58",1887.2,30.3333333333333,1877.6,42.8,2802.4,24.6,551.2,82.4,1345.8,198.2
"gene-ZDHHC22|ZDHHC22",0,0,0,0,0,0,0,0,0,0
"gene-C4H20orf202|C4H20orf202",0,0,0,0,0,0,0,0,0,0
"gene-LOC132766516|LOC132766516",341.6,302.666666666667,28,47,134.6,146.2,57.8,44.6,17,11.8
"gene-ATP6V0B|ATP6V0B",2302.8,2689.66666666667,2075.6,3126.8,2294.8,2339.6,2377,1762.8,1442.6,1182.8
"gene-LOC137096553|LOC137096553",1.4,0,1,3,0.6,0,1.6,0.8,0.6,0.6
"gene-PACSIN1|PACSIN1",0,7,3.6,7.2,1.2,0,6.2,2.8,2.8,0.6
"gene-FAM3C|FAM3C",6385,11784,6719,14994.6,9883.6,11673.2,10348.4,9158.4,6292.8,6688.6
"gene-FAM237B|FAM237B",0,0,0,1.2,0,0,0,0,0.6,0
"gene-LOC132761744|LOC132761744",356.6,239.333333333333,246.8,235.2,299.8,364.4,339.4,176.4,403.6,273.6
"gene-CD6|CD6",68.8,43,18.8,39.4,30.4,43,53.4,20.8,7.8,7.8
"gene-LOC137095457|LOC137095457",17.2,90.3333333333333,16.8,66.6,28.2,109.6,36.8,62.2,412.2,172.4
"gene-RPL6|RPL6",43160.8,36046,42908.6,35093.8,49117,33481.2,56519,35601.4,69267.8,38813
"gene-TMPRSS13|TMPRSS13",26,41.3333333333333,31.2,48.6,67.4,66.2,88.2,33.2,79.2,60.2
"gene-UBE2M|UBE2M",681.8,914.333333333333,930,1041.8,738,974.8,1147.2,874.8,1042.4,1125.2
"gene-LOC132765430|LOC132765430",0,0,0.6,0.8,0,0,1.4,0,0,0
"gene-LOC137095530|LOC137095530",2.4,13,2.6,2.4,4.8,3.4,5,8.4,2,2.8
"gene-LOC137095045|LOC137095045",0.4,0,0,0,0,0,0,1.2,0,0
"gene-CCDC78|CCDC78",14.6,24.6666666666667,13.6,23.8,23.4,23.6,12.6,22.6,7.4,14.2
"gene-TRNAM-CAU-11|TRNAM-CAU",0.4,0,0,0,0,0,0,0,0.2,0
"gene-LOC132771266|LOC132771266",8673.2,18689,9366,19988.8,8383.4,16598.8,9666,16231.8,5621.6,7858.6
"gene-LOC132764936|LOC132764936",3.2,1,3.6,2.6,0,1.6,1.4,3,1,2
"gene-LOC132775207|LOC132775207",194.8,207,114.2,194,191,236.8,263.2,177.8,186.4,253.6
"gene-GSPT1|GSPT1",1184.2,1633,1578.2,1521.6,1265.8,1580.8,2035.2,1706.6,2158,1786.8
"gene-LOC137096178|LOC137096178",0.6,0,1,1.2,0,1.2,0.4,2,0.6,0
"gene-PA2G4|PA2G4",3804.4,3782.33333333333,3413.2,4358.2,3332.4,3512.6,2980.6,3257,3972.4,4074.4
"gene-LOC137095758|LOC137095758",0,0,0,1.2,0,0.4,0,1,0,0.2
"gene-EIF4E3|EIF4E3",2573.8,5428.33333333333,3800.4,6236,5077,7496.8,7014.4,9135.2,7276.6,5870.8
"gene-BICC1|BICC1",200,1334,242.8,615.4,742.6,654,974.4,378.2,571,353.2
"gene-LOC132781779|LOC132781779",219.6,371,220.6,344,222.6,316,394.4,331.4,381.2,242.8
"gene-LOC132777547|LOC132777547",879.4,1713,1089.2,1471.4,1326.2,2065.6,1879,2272.4,2055,2386.6
"gene-CAPN6|CAPN6",130.4,472,130.8,353,186,324.4,255.4,278.8,497.6,705.2
"gene-LOC132775512|LOC132775512",0,0,136.2,0,6,0,0,0,0,0.6
"gene-LOC137095701|LOC137095701",0,0,0,0,0,0,0,0,0,0
"gene-TMEM40|TMEM40",110.6,231,236.8,469.2,118.6,158.4,198.6,221.2,166.4,173.8
"gene-CAMK2G|CAMK2G",666.6,1515.33333333333,829.8,2063.6,969.6,989.8,1283.8,734.8,342.6,313.8
"gene-LOC137096823|LOC137096823",0,0,0,0,0.4,0,0,1.4,0,0
"gene-LOC132779545|LOC132779545",0,2,0.8,0,0,0,0,1.2,0.4,0
"gene-LMNTD2|LMNTD2",8,28.6666666666667,15.2,31.4,21.2,38.6,47.8,45.2,50.8,27.8
"gene-SRSF3|SRSF3",6571.4,5255.66666666667,4815.8,5648.6,4707,4661.4,4637.6,3255.4,4617.8,4406.8
"gene-LOC132780873|LOC132780873",1514.4,1591.33333333333,1786,1582.2,2029.8,1688.6,2792.6,1611.2,2333.4,1129
"gene-LOC132779476|LOC132779476",871.2,352,418.4,364.2,189.4,342.8,523.2,334.4,107.6,239.2
"gene-LIMK1|LIMK1",684.4,1268.66666666667,652.8,1704.6,387.4,689.4,653.2,429,81.2,93.8
"gene-DTL|DTL",90,17.3333333333333,38.8,30.6,62.4,25,130.6,54.6,181.6,71
"gene-LOC132775643|LOC132775643",0,0,25.2,245.4,41,0,4.2,1327.6,10383.6,291.8
"gene-NT5DC4|NT5DC4",9667.8,12499.6666666667,8101.8,10614.8,8193.8,13742.4,14037.6,14278.6,16987.2,22776.6
"gene-LOC137096146|LOC137096146",110.6,0,46.8,156.2,275,525.8,27.6,2.8,149,0.2
"gene-LOC132761515|LOC132761515",205.4,191,147,163.8,180.6,193,246.8,155.8,187.2,129.8
"gene-LOC132765927|LOC132765927",25.4,58.3333333333333,45.6,83.2,56.2,76.4,83.2,66.4,76,62
"gene-KATNAL1|KATNAL1",30.6,42.3333333333333,68.2,87,53.8,74.8,80.8,65,129.2,81.6
"gene-LOC132765579|LOC132765579",59,74.3333333333333,64.4,78.4,64,101.2,87.2,81.4,101.8,92
"gene-LOC137096587|LOC137096587",0,0,0,0,0,0,0,0,0,0
"gene-LOC132781927|LOC132781927",953.8,1264.33333333333,985.2,1182,1140,1140.8,2068,951.2,3537.2,1657.2
"gene-LOC132770077|LOC132770077",28.8,10,18,2.6,30,4.8,21.4,0.6,0,0
"gene-TRAPPC8|TRAPPC8",1060.6,1961.66666666667,1151,2000.8,1504.6,1891,1894.2,1348.2,1382.2,1259.6
"gene-RBM25|RBM25",6265.8,3254.33333333333,2977.8,3708.4,3925,3655.8,3699,2717.6,2542.4,2024.4
"gene-CPT1B|CPT1B",176.8,80,120,103.2,530.2,92.6,191.6,58.8,48.2,12.8
"gene-LOC137096890|LOC137096890",57.6,66.3333333333333,43.4,69.2,51.6,89.4,88.2,73.2,64.2,88
"gene-LOC137094785|LOC137094785",0,0,0.8,0.6,2.4,0,1,0,2.8,1.8
"gene-LOC132761254|LOC132761254",0,0,0,0,0,0,0,0,0,0.8
"gene-LOC132765177|LOC132765177",67.6,90.3333333333333,73.6,73.2,57.8,169,192,149,200,252.4
"gene-SYNGR2|SYNGR2",4241.4,10137,6255,12923.4,7311.8,8781,9644.4,6498.6,6037.2,6278.2
"gene-HAS1|HAS1",32.4,34.3333333333333,7.2,11.4,3,3.4,6.4,1.4,0.4,0
"gene-LOC137095328|LOC137095328",12,175.333333333333,5.4,205,39,215.8,12.6,221.4,8.8,233
"gene-NOP56|NOP56",1343.4,1083,1046.6,1022.8,1229.2,1003.6,1223.6,840.6,1501.8,884.6
"gene-XDH|XDH",1080.8,1182.33333333333,795.6,965.4,646,1319.4,1906.6,1946,1453.8,1542.6
"gene-NCF1|NCF1",326.6,2231,947.4,3309.4,571.4,1614.6,901.4,416.4,45,38
"gene-RSU1|RSU1",854.8,1596,1069.8,2171.6,983.8,1378,1290,680.8,659,595
"gene-PEX14|PEX14",637.2,1205,657.2,862.4,658.4,1049,1290.4,1272.4,1664.4,1467.6
"gene-OTUB1|OTUB1",660,1134.33333333333,996.6,1368.2,923.8,1051.6,1052.6,906,980.8,1059.2
"gene-HMGB1|HMGB1",2609.6,3639.66666666667,2476.4,4508.4,3099.6,2185.8,3762.2,3203.8,3280.2,2083.6
"gene-HIPK3|HIPK3",3263.4,6702.33333333333,3071.8,5610.8,3632.2,4349.8,6590.4,4858,4608.2,3867
"gene-LOC137095134|LOC137095134",0,1.66666666666667,0,1.8,0,2.8,0.8,2.6,0,6
"gene-BAG4|BAG4",407.8,741,586.6,898.6,639.4,803,1003.6,635.6,777,600.6
"gene-LOC132778421|LOC132778421",16,2.66666666666667,0,0,19.4,0,0,0,0.6,0
"gene-NAALAD2|NAALAD2",0.8,2.33333333333333,5.2,3.4,0,3.8,7.2,6,11.8,3.2
"gene-LOC137095919|LOC137095919",0.8,0,0,1.2,1,1.6,1,0,1.6,0
"gene-CER1|CER1",0,0,0,0,0,0.6,0,0,0.6,0
"gene-LOC132769389|LOC132769389",16.2,11.6666666666667,4.6,28,10.8,10.2,21,22.6,14,10.2
"gene-LOC132782264|LOC132782264",291,639,512.6,784.8,558,832.8,1074.6,1003.4,644,704.6
"gene-SYT11|SYT11",39,159.666666666667,61.4,132.8,71.6,119,178.4,165.4,161.2,107.6
"gene-LOC132779084|LOC132779084",3690.6,7596.33333333333,4515.8,6262,5550.6,7736.8,7528.8,8108.2,9220.8,12935.8
"gene-LOC132765837|LOC132765837",51.4,186,64,121.4,117.4,80.2,94,71.4,214,190.4
"gene-LOC137095168|LOC137095168",48.2,91,57.8,117.8,51.6,64.8,53.4,90,76.4,93.6
"gene-LOC137094932|LOC137094932",228.2,823.666666666667,169,252,297.4,172.8,575.6,815.4,456.4,562.2
"gene-LOC137096682|LOC137096682",7.2,6.33333333333333,2,3.6,2,7.8,7.8,3.8,6.4,7.4
"gene-LOC132780239|LOC132780239",164.4,291.666666666667,220.8,559.8,196.2,308,303,230.4,277.2,187.8
"gene-GREM1|GREM1",0,0,0.4,4,0,23,0,1.6,5.2,1.4
"gene-GFI1|GFI1",112.2,81.6666666666667,74.2,157.4,80.8,121.4,123.4,111.8,73,67.2
"gene-MAP3K7CL|MAP3K7CL",0,0,7,1.8,2.6,1.2,6.4,1.6,6,0
"gene-TMEM115|TMEM115",1325,2462.33333333333,1917.4,2336.4,2060.8,2203.6,2584.8,2453.4,1990.4,1900
"gene-SYDE2|SYDE2",270,924,422.4,660.4,413.2,830.6,1019.6,1007,1281.8,880.6
"gene-RNF2|RNF2",596.6,1219.33333333333,612,1035.2,848.2,942.4,1184.4,965.6,989.8,705.6
"gene-PPFIA4|PPFIA4",470.8,295,446,339.4,480.6,311.8,457.8,291.2,419,475.8
"gene-CNGA4|CNGA4",0,0,0,0,0,0,0,0,0,0
"gene-LOC137095906|LOC137095906",0,0,0,0,0,0,0,0,0,0
"gene-ACTL9|ACTL9",1.4,7.66666666666667,0,5.2,1,3,4,1.6,0.6,0
"gene-ARHGDIA|ARHGDIA",3011.6,5151.66666666667,4102.2,6174.8,4106.6,4871,5228.2,4227.6,5094.8,5307.6
"gene-LOC132765734|LOC132765734",29,70.3333333333333,58.2,84.2,51.6,98,121.6,83.6,164.8,111.4
"gene-FNTA|FNTA",844.8,1191.66666666667,796,1343.6,1080.8,1167,1514.6,1477.8,1940.6,1381.2
"gene-LOC137095486|LOC137095486",294.4,763.333333333333,449.6,968.4,532.6,885,1427.4,747,1467,763
"gene-LOC137097265|LOC137097265",1.8,0,1.8,3.4,0,4.2,0.6,3.6,4.2,0
"gene-AOC1|AOC1",4.8,24,0,21.8,9.6,5.8,12.8,24.4,164,290.2
"gene-ABHD14A|ABHD14A",305.6,486.666666666667,297.4,604.2,434.6,500.2,539.6,382.2,460.2,421.8
"gene-LOC137095793|LOC137095793",139.8,165.333333333333,187.2,191.6,264.8,127.4,150.8,120.6,32429.6,11362.8
